uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,nlcdClass,plotID,subplotID,endDate,boutNumber,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"601fef2d-0d57-4e21-bdb4-a356698d06e3","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","AMMEI2","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders","variety","Boraginaceae","N",,,,,,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"4d80277a-0c52-484d-9c09-f9d866cbe3c1","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","LUPIN","Lupinus sp.","genus","Fabaceae","UNK",,,"Lupinus bites the dust_2019","Smaller lupine purple flower",,,30.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"7ebc0308-b4e1-43e4-ad89-917914297799","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","AVBA","Avena barbata Pott ex Link","species","Poaceae","I","cf. species",,,,,,3.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"a48d3cb7-280e-4023-9f97-49aaefe1c08b","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"soil",11.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"a6055345-5389-4046-92f1-b39afa679c34","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"standingDead",0.50,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"93acc783-45bd-4ce3-ba88-92969aabd7b3","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"soil",15.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"c8977d21-b6ba-4f26-9b07-1b02ddd1a887","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","AVENA","Avena sp.","genus","Poaceae","UNK",,,"Dangly Queen_2019","Awns as long or longer than florets",,,0.50,"N",,"Avena Barbara?","0000-0002-2320-6648","0000-0002-9129-5419",,,
"447c1367-159f-414b-9fb9-804fb5f23f7f","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","POA","Poa sp.","genus","Poaceae","UNK",,"Bromus diandrus","Broadleafed pie grass_2019","Broad papery silky blades",,,16.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"015ef93d-2bc8-428c-9266-6f78f4e3cd75","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CAPY2","Carduus pycnocephalus L.","species","Asteraceae","I",,,,,,,3.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"24bf0e5c-5b08-4ca3-a201-2f50bb7962ca","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"moss",0.50,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"e881cc69-98d0-4abf-9993-46b5eca5afae","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRHO2","Bromus hordeaceus L.","species","Poaceae","I","cf. species","Radio brizha?",,,,,1.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"e5dad291-6e33-4daa-9cd4-6856c2cb43e2","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CABU2","Capsella bursa-pastoris (L.) Medik.","species","Brassicaceae","I",,,,,,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"ce6e38f9-ec61-4203-8f71-ec7847f04fb2","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","HYGL2","Hypochaeris glabra L.","species","Asteraceae","I",,,,,,,7.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"2b403058-1acf-4575-a401-c3dee41cfdde","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"wood",0.50,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"234cb711-d843-4277-b0da-9417c04db4bd","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","STME2","Stellaria media (L.) Vill.","species","Caryophyllaceae","I","cf. species",,,,,,6.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"fb6547f8-7afd-4a14-a7d5-c1525fffba7c","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CEGL2","Cerastium glomeratum Thuill.","species","Caryophyllaceae","I",,,,,,,7.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"0a6af332-9dc7-4bbe-a179-ebcb3dc86484","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","AICA","Aira caryophyllea L.","species","Poaceae","I",,,,,,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"f45cc8ab-ff24-44c0-9266-5935477be6f7","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","AMME","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.","species","Boraginaceae","N",,,,,,,1.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"33d3db54-814e-4dd0-ae28-b53e3fcff5f3","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CACI2","Calandrinia ciliata (Ruiz & Pav.) DC.","species","Portulacaceae","N",,,,,,,1.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"d03a4dc8-bbf8-462b-86ae-e9c9aa165a1a","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","TRIFOSPP","Trifolium spp.","genus","Fabaceae","UNK",,,,,,,6.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"284393ba-9e5c-48ea-b29b-401bc6a87507","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CAAT25","Castilleja attenuata (A. Gray) T.I. Chuang & Heckard","species","Scrophulariaceae","N",,,,,,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"a872a3d1-884d-4449-a194-6555a31c31be","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"rock",4.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"22e15fff-3f3a-4baa-94e1-e3bf633e149f","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CAAT25","Castilleja attenuata (A. Gray) T.I. Chuang & Heckard","species","Scrophulariaceae","N",,,,,,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"0d9fe2de-314d-41ae-87b3-0488bf98f5b6","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","ERBO","Erodium botrys (Cav.) Bertol.","species","Geraniaceae","I",,,,,,,11.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"8fa581cd-be33-4988-9ba5-83ae4fc5ecb4","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","PENST","Penstemon sp.","genus","Scrophulariaceae","UNK","cf. genus",,"Penstesaur_2019","Opposite spatulate leaves rough hairy dark red stem fruit looks like uns on a stick",,,1.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"375166fd-e30b-4314-a875-f39050ea3fb0","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRHO2","Bromus hordeaceus L.","species","Poaceae","I","cf. species","Radio brizha?",,,,,20.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"889f8af6-52a2-49ad-b830-355b57739597","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRHO2","Bromus hordeaceus L.","species","Poaceae","I","cf. species",,,,,,30.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"4b5c8535-7478-47fe-820a-186e6b1f8314","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"litter",10.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"92418e55-cbe3-472d-a639-f132b3190872","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","LUPIN","Lupinus sp.","genus","Fabaceae","UNK",,,"Lupinus bites the dust_2019","Smaller lupine purple flower",,,8.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"63610b34-b239-437f-a3d6-60085af4efb9","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CEGL2","Cerastium glomeratum Thuill.","species","Caryophyllaceae","I",,,,,,,3.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"d3b32402-bf99-47fe-b80e-244250793d16","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","TRIFOSPP","Trifolium spp.","genus","Fabaceae","UNK",,,,,,,6.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"288955cf-fc6d-4341-9450-766b801cec05","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CRYPT","Cryptantha sp.","genus","Boraginaceae","N",,"Plagiobothrys nothofulvus","Killer Cryptantha_2019","Branchy leaves on nodes roset hair leaves lancula",,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"e0cdfc79-d2a8-4293-ab19-7010c371cec9","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","HYGL2","Hypochaeris glabra L.","species","Asteraceae","I",,,,,,,8.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"2ecde55f-a2e2-4852-ae9d-4eeec03bdfde","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","2PLANT","Unknown plant","kingdom",,"UNK",,,"SprawlingThyme_2019","Yellow four petal flower six anthers. Succulent sprawling stems. Thin tendrilly leaves",,,2.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"202b3970-35dc-460e-bba9-adeb69d5cab2","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","VULPI","Vulpia sp.","genus","Poaceae","UNK","cf. genus","VUMY/VUMI",,,,,6.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"d93f8c22-ee29-4e75-bfcc-f82bc2bc8dfe","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"standingDead",0.50,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"f959e520-6ad0-40c6-a1f8-fa60285c3fa1","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","GITR2","Gilia tricolor Benth.","species","Polemoniaceae","N",,,,,,,4.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"fe74c9dd-274a-48fb-9973-b617852e7b1e","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.3.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","DICAC5","Dichelostemma capitatum (Benth.) Alph. Wood ssp. capitatum","subspecies","Liliaceae","N",,,,,,,1.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"131e5ebf-848a-4924-8d36-42876fb5357f","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.1.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRRU2","Bromus rubens L.","species","Poaceae","I",,,,,,,2.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"4d8d1f53-ae3f-4fe4-af9f-2767b23950f4","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","32.4.1","2019-04-15",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"soil",5.00,,,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"5985cf05-8b04-4770-85f5-894f8e8681d1","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.1.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","GITR2","Gilia tricolor Benth.","species","Polemoniaceae","N",,,,,,,25.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"6743f73e-f6fe-492b-9b3d-b46c97a78535","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.3.1","2019-04-15",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"moss",0.50,,,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"24d4983f-dd9b-4fe5-a5db-6abf66482ed4","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","32.4.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRHO2","Bromus hordeaceus L.","species","Poaceae","I",,,,,,,45.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"677b4dc2-a7e0-4690-a1b8-98afa4106179","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.3.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","HYGL2","Hypochaeris glabra L.","species","Asteraceae","I",,,,,,,8.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"4c39d0cc-ec7e-4f13-82b9-887758dc6f13","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","32.4.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","TRMI4","Trifolium microcephalum Pursh","species","Fabaceae","N",,,,,,,3.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"dead9546-8520-43d4-8bee-c189e2de9f9f","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","32.2.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","GAAP2","Galium aparine L.","species","Rubiaceae","N","cf. species",,,,,,1.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"d13aed99-605e-4367-89c0-b4e1e88a3dc2","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.1.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRDI3","Bromus diandrus Roth","species","Poaceae","I",,,,,,,0.50,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"fe178a90-dd44-4c0b-ad34-15a29b6a34b1","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","41.4.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","AVBA","Avena barbata Pott ex Link","species","Poaceae","I",,,,,,,1.00,,,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"678e7260-57dd-47cb-ba3b-c52da7f8641b","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","41.4.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","DICAC5","Dichelostemma capitatum (Benth.) Alph. Wood ssp. capitatum","subspecies","Liliaceae","N",,,,,,,1.00,,,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"dde1ffc5-f814-44bd-beaf-2da72d82bf7d","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.3.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRRU2","Bromus rubens L.","species","Poaceae","I","cf. species",,,,,,3.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"96bf4ec1-31d4-4273-a4e4-7ef1998bb378","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","40.1.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","ERBO","Erodium botrys (Cav.) Bertol.","species","Geraniaceae","I",,,,,,,2.00,"N",,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"6426ff10-d7d4-4ebb-bd4f-ad6079cb47c9","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","41.4.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","SIGA","Silene gallica L.","species","Caryophyllaceae","I",,,,,,,0.50,,,,"0000-0002-2320-6648","0000-0001-5314-0662",,,
"584c3096-9767-487c-a921-5e670eec14a9","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","41.4.1","2019-04-15",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","VULPI","Vulpia sp.","genus","Poaceae","UNK",,,,,,,6.00,,,"vumi/vumy","0000-0002-2320-6648","0000-0001-5314-0662",,,
